time,vibrationLevel_4267,mean
2023-09-28 20:08:26.486000+00:00,0.1162,0.1162
2023-09-28 17:07:03.055000+00:00,0.0884,0.0884
2023-09-28 14:10:46.578000+00:00,0.1289,0.1289
2023-09-28 11:07:38.502000+00:00,0.1038,0.1038
2023-09-28 08:10:23.891000+00:00,0.1042,0.1042
2023-09-28 05:07:09.125000+00:00,0.0178,0.0178
2023-09-28 02:11:14.697000+00:00,0.0024,0.0024
2023-09-27 23:07:36.286000+00:00,0.0023,0.0023
2023-09-27 20:09:09.325000+00:00,0.075,0.075
2023-09-27 17:06:41.922000+00:00,0.0652,0.0652
2023-09-27 14:08:38.930000+00:00,0.0984,0.0984
2023-09-27 11:07:25.088000+00:00,0.1184,0.1184
2023-09-27 08:10:53.053000+00:00,0.0028,0.0028
2023-09-27 05:09:09.370000+00:00,0.0,0.0
2023-09-27 02:08:37.901000+00:00,0.0,0.0
2023-09-26 23:08:07.595000+00:00,0.0,0.0
2023-09-26 20:07:31.770000+00:00,0.0,0.0
2023-09-26 17:07:01.644000+00:00,0.0206,0.0206
2023-09-26 14:09:34.260000+00:00,0.0024,0.0024
2023-09-26 11:07:58.355000+00:00,0.0029,0.0029
2023-09-26 08:06:36.815000+00:00,0.0255,0.0255
2023-09-26 05:10:52.818000+00:00,0.0,0.0
2023-09-26 02:10:26.307000+00:00,0.0,0.0
2023-09-25 23:09:50.659000+00:00,0.0,0.0
2023-09-25 20:09:20.314000+00:00,0.0,0.0
2023-09-25 17:08:49.090000+00:00,0.0018,0.0018
2023-09-25 14:07:15.010000+00:00,0.0118,0.0118
2023-09-25 08:10:27.532000+00:00,0.0048,0.0048
2023-09-24 08:10:12.284000+00:00,0.0,0.0
2023-09-24 05:09:36.048000+00:00,0.0,0.0
2023-09-24 02:09:00.954000+00:00,0.0,0.0
2023-09-23 23:08:29.837000+00:00,0.0,0.0
2023-09-23 20:07:54.723000+00:00,0.0,0.0
2023-09-23 17:07:13.648000+00:00,0.0,0.0
2023-09-23 14:06:37.318000+00:00,0.0,0.0
2023-09-23 11:10:56.739000+00:00,0.0,0.0
2023-09-23 08:10:30.789000+00:00,0.0,0.0
2023-09-23 05:09:49.059000+00:00,0.0,0.0
2023-09-23 02:09:18.741000+00:00,0.0,0.0
2023-09-22 23:08:43.587000+00:00,0.0,0.0
2023-09-22 20:08:12.200000+00:00,0.0,0.0
2023-09-22 17:07:42.220000+00:00,0.0,0.0
2023-09-22 14:07:10.390000+00:00,0.002,0.002
2023-09-22 11:06:11.397000+00:00,0.0,0.0
2023-09-22 08:10:46.205000+00:00,0.002,0.002
2023-09-22 05:09:32.486000+00:00,0.0,0.0
2023-09-22 02:09:01.927000+00:00,0.0,0.0
2023-09-21 23:08:26.016000+00:00,0.0,0.0
2023-09-21 20:07:55.837000+00:00,0.0,0.0
2023-09-21 17:07:29.076000+00:00,0.0,0.0
2023-09-21 14:12:05.494000+00:00,0.093,0.093
2023-09-21 11:06:14.476000+00:00,0.1278,0.1278
2023-09-21 08:10:36.996000+00:00,0.1054,0.1054
2023-09-21 05:09:59.039000+00:00,0.1217,0.1217
2023-09-21 02:09:06.450000+00:00,0.0,0.0
2023-09-20 23:08:40.809000+00:00,0.0,0.0
2023-09-20 20:08:05.737000+00:00,0.0,0.0
2023-09-20 17:07:40.836000+00:00,0.0,0.0
2023-09-20 14:07:04.976000+00:00,0.0,0.0
2023-09-20 11:06:38.781000+00:00,0.0,0.0
2023-09-20 08:06:13.865000+00:00,0.0,0.0
2023-09-20 05:05:48.221000+00:00,0.0,0.0
2023-09-20 02:10:17.851000+00:00,0.0,0.0
2023-09-19 23:09:31.448000+00:00,0.0,0.0
2023-09-19 20:08:55.125000+00:00,0.0,0.0
2023-09-19 17:08:28.808000+00:00,0.0,0.0
2023-09-19 14:07:56.892000+00:00,0.0,0.0
2023-09-19 11:07:20.025000+00:00,0.0,0.0
2023-09-19 08:06:43.287000+00:00,0.0,0.0
2023-09-19 05:06:12.910000+00:00,0.0,0.0
2023-09-19 02:10:31.709000+00:00,0.0,0.0
2023-09-18 23:09:56.325000+00:00,0.0,0.0
2023-09-18 20:09:30.568000+00:00,0.0,0.0
2023-09-18 17:09:05.326000+00:00,0.0,0.0
2023-09-18 14:08:34.575000+00:00,0.0,0.0
2023-09-18 11:08:02.759000+00:00,0.0,0.0
2023-09-18 08:07:06.444000+00:00,0.0188,0.0188
2023-09-18 05:06:09.611000+00:00,0.0,0.0
2023-09-18 02:05:43.112000+00:00,0.0,0.0
2023-09-17 23:10:02.384000+00:00,0.0,0.0
2023-09-17 20:09:36.001000+00:00,0.0,0.0
2023-09-17 17:08:58.902000+00:00,0.097,0.097
2023-09-17 14:05:36.582000+00:00,0.1033,0.1033
2023-09-17 11:15:02.256000+00:00,0.0726,0.0726
2023-09-17 08:05:41.123000+00:00,0.1286,0.1286
2023-09-17 05:09:47.096000+00:00,0.0,0.0
2023-09-17 02:09:21.864000+00:00,0.0,0.0
2023-09-16 23:08:56.059000+00:00,0.0,0.0
2023-09-16 20:08:20.438000+00:00,0.0,0.0
2023-09-16 17:07:48.834000+00:00,0.1034,0.1034
2023-09-16 14:06:55.213000+00:00,0.096,0.096
2023-09-16 11:06:08.746000+00:00,0.1273,0.1273
2023-09-16 08:08:47.090000+00:00,0.0945,0.0945
2023-09-16 05:07:58.603000+00:00,0.0,0.0
2023-09-16 02:07:21.521000+00:00,0.0,0.0
2023-09-15 23:06:45.840000+00:00,0.0,0.0
2023-09-15 20:06:14.854000+00:00,0.0,0.0
2023-09-15 17:05:42.977000+00:00,0.1226,0.1226
2023-09-15 14:09:49.569000+00:00,0.1431,0.1431
2023-09-15 11:03:34.054000+00:00,0.0022,0.0022
2023-09-15 08:17:47.662000+00:00,0.1172,0.1172
2023-09-15 05:09:00.365000+00:00,0.0782,0.0782
2023-09-15 02:06:34.176000+00:00,0.0019,0.0019
2023-09-14 23:10:10.480000+00:00,0.0022,0.0022
2023-09-14 20:09:55.407000+00:00,0.0021,0.0021
2023-09-14 17:21:17.148000+00:00,0.0918,0.0918
2023-09-14 14:07:55.758000+00:00,0.1948,0.1948
2023-09-14 11:14:32.729000+00:00,0.0022,0.0022
2023-09-14 08:05:06.710000+00:00,0.107,0.107
2023-09-14 05:07:06.056000+00:00,0.0992,0.0992
2023-09-14 02:08:36.883000+00:00,0.0,0.0
2023-09-13 23:08:05.828000+00:00,0.0,0.0
2023-09-13 20:07:20.575000+00:00,0.0,0.0
2023-09-13 17:06:44.704000+00:00,0.1452,0.1452
2023-09-13 14:05:48.306000+00:00,0.2124,0.2124
2023-09-13 11:09:40.975000+00:00,0.0025,0.0025
2023-09-13 08:04:36.619000+00:00,0.1331,0.1331
2023-09-13 05:06:14.570000+00:00,0.0854,0.0854
2023-09-13 02:05:25.587000+00:00,0.0,0.0
2023-09-12 23:09:44.755000+00:00,0.0,0.0
2023-09-12 20:09:08.433000+00:00,0.0,0.0
2023-09-12 17:08:42.082000+00:00,0.1355,0.1355
2023-09-12 14:10:09.150000+00:00,0.0877,0.0877
2023-09-12 11:06:44.356000+00:00,0.0022,0.0022
2023-09-12 08:05:18.720000+00:00,0.1327,0.1327
2023-09-12 05:05:25.307000+00:00,0.0612,0.0612
2023-09-12 02:09:39.702000+00:00,0.0,0.0
2023-09-11 23:09:08.869000+00:00,0.0,0.0
2023-09-11 20:08:42.283000+00:00,0.0,0.0
2023-09-11 17:08:16.005000+00:00,0.1017,0.1017
2023-09-11 14:07:30.826000+00:00,0.0977,0.0977
2023-09-11 11:04:18.060000+00:00,0.0023,0.0023
2023-09-11 08:05:29.379000+00:00,0.0917,0.0917
2023-09-11 05:09:58.551000+00:00,0.2078,0.2078
2023-09-11 02:09:08.942000+00:00,0.0,0.0
2023-09-10 23:08:37.593000+00:00,0.0,0.0
2023-09-10 20:08:07.711000+00:00,0.0,0.0
2023-09-10 17:07:31.105000+00:00,0.0948,0.0948
2023-09-10 14:09:13.715000+00:00,0.0821,0.0821
2023-09-10 11:08:28.106000+00:00,0.1649,0.1649
2023-09-10 08:07:39.335000+00:00,0.0915,0.0915
2023-09-10 05:06:33.500000+00:00,0.0,0.0
2023-09-10 02:05:46.763000+00:00,0.0,0.0
2023-09-09 23:05:15.101000+00:00,0.0,0.0
2023-09-09 20:09:40.024000+00:00,0.0,0.0
2023-09-09 14:06:32.973000+00:00,0.0906,0.0906
2023-09-09 11:08:06.500000+00:00,0.1068,0.1068
2023-09-09 08:07:14.162000+00:00,0.1594,0.1594
2023-09-09 05:06:19.045000+00:00,0.0,0.0
2023-09-09 02:05:32.381000+00:00,0.0,0.0
2023-09-08 23:09:56.256000+00:00,0.0,0.0
2023-09-08 20:09:15.667000+00:00,0.0,0.0
2023-09-08 17:08:45.568000+00:00,0.1308,0.1308
2023-09-08 14:07:51.534000+00:00,0.1709,0.1709
2023-09-08 11:11:50.776000+00:00,0.0464,0.0464
2023-09-08 05:09:54.842000+00:00,0.062,0.062
2023-09-08 02:09:06.901000+00:00,0.0,0.0
2023-09-07 23:08:40.919000+00:00,0.0,0.0
2023-09-07 20:08:10.835000+00:00,0.0,0.0
2023-09-07 17:07:45.335000+00:00,0.0885,0.0885
2023-09-07 14:06:59.864000+00:00,0.1237,0.1237
2023-09-07 11:05:41.735000+00:00,0.0119,0.0119
2023-09-07 08:06:27.315000+00:00,0.1196,0.1196
2023-09-07 05:08:13.882000+00:00,0.0836,0.0836
2023-09-07 02:07:14.944000+00:00,0.0,0.0
2023-09-06 23:06:33.189000+00:00,0.0,0.0
2023-09-06 17:05:36.503000+00:00,0.1072,0.1072
2023-09-06 11:08:41.774000+00:00,0.0,0.0
2023-09-06 08:13:10.989000+00:00,0.1272,0.1272
2023-09-06 05:07:08.895000+00:00,0.0869,0.0869
2023-09-06 02:06:24.993000+00:00,0.0,0.0
2023-09-05 23:05:53.528000+00:00,0.0,0.0
2023-09-05 20:05:23.401000+00:00,0.0,0.0
2023-09-05 17:09:42.766000+00:00,0.1098,0.1098
